STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	1	4	223	6	67	1507393	1507393	20	17	100	7734	39105	87	369	2326	4952	7750	24482	6873	281
9999	1	4	224	6	69	59056	59056	6	5	100	155	543	1	18	29	107	138	295	110	6
9999	1	4	225	6	71	2131260	2131260	39	33	100	10469	54937	129	703	2910	6727	13440	29840	11657	392
9999	1	4	226	6	73	3317259	3317259	32	27	100	10959	61356	101	1088	2777	6993	10382	39955	11019	420
9999	1	4	227	6	75	871155	871155	12	7	100	6269	48437	58	346	3221	2644	5084	37866	5487	256
9999	1	4	228	6	77	729104	729104	15	10	100	6005	22629	62	220	1624	4099	4239	14848	3542	132
9999	1	4	229	6	79	281827	281827	17	15	100	1115	6687	4	102	88	921	1199	4987	501	59
9999	1	4	230	6	81	769231	769231	22	21	100	1634	14893	9	254	465	906	3017	10249	1627	78
9999	1	4	231	6	83	445908	445908	16	13	100	1527	9779	13	244	325	945	1868	6691	1220	49
9999	1	4	232	6	85	1932177	1932177	27	23	100	5423	42797	57	640	1616	3110	7523	25318	9956	248
9999	1	4	233	6	87	274494	274494	10	9	100	1101	9485	5	120	209	767	1221	6810	1454	38
9999	1	4	234	6	89	178755	178755	8	6	100	1333	5561	12	150	172	999	1217	3472	872	37
9999	1	4	235	6	91	2899	2899	3	3	100	14	26	0	0	0	14	8	18	0	1
9999	1	4	236	6	93	42988	42988	15	13	100	161	876	3	11	10	137	267	467	142	5
9999	1	4	237	6	95	437638	437638	12	10	100	2022	11719	24	204	647	1147	3397	6158	2164	121
9999	1	4	238	6	97	502249	502249	18	17	100	1868	7794	10	282	236	1340	1529	5380	885	54
9999	1	4	239	6	99	539425	539425	16	13	100	3366	17918	34	199	835	2298	3303	11119	3496	111
9999	1	4	240	6	101	96141	96141	4	4	100	360	2691	9	31	82	238	641	1719	331	9
9999	1	4	241	6	103	62821	62821	5	5	100	360	1937	3	31	52	274	574	1079	284	13
9999	1	4	242	6	105	12847	12847	3	3	100	66	299	3	3	6	54	101	138	60	0
9999	1	4	243	6	107	460141	460141	14	12	100	1608	11563	33	135	329	1111	2674	6781	2108	28
9999	1	4	244	6	109	53055	53055	4	3	100	187	1272	1	54	15	117	436	721	115	12
9999	1	4	245	6	111	849851	849851	21	18	100	2193	16415	31	269	726	1167	2910	11855	1650	113
9999	1	4	246	6	113	214011	214011	10	8	100	639	5368	3	72	191	373	791	3931	646	52
9999	1	4	247	6	115	74417	74417	6	5	100	318	1944	4	19	55	240	456	1081	407	27
9999	1	4	248	6	777	0	0	8	7	100	51	231	0	0	7	43	46	148	36	0
9999	1	4	249	8	1	497648	501219	8	11	100	2010	16422	21	419	366	1204	2047	10982	3393	97
9999	1	4	250	8	3	16605	16605	3	3	65.1265	15	166	0	8	0	7	24	131	11	0
9999	1	4	251	8	5	691796	642700	13	12	100	2356	17445	24	434	622	1276	2531	12660	2254	109
9999	1	4	252	8	7	12406	12406	3	2	100	24	167	0	3	1	20	40	122	5	0
9999	1	4	253	8	9	3579	3579	4	4	98.8079	2	15	0	0	0	2	7	7	1	0
9999	1	4	254	8	11	5703	5703	1	1	100	7	139	0	2	1	4	63	71	5	1
9999	1	4	255	8	13	336308	324108	8	8	100	776	7412	1	227	83	465	1029	5880	502	85
9999	1	4	256	8	14	66953	66953	1	1	100	34	1613	0	14	2	18	217	1238	158	4
9999	1	4	257	8	15	18825	18825	3	3	100	8	321	0	4	1	3	31	270	20	0
9999	1	4	258	8	17	1828	1828	1	1	100	1	3	0	0	0	1	2	1	0	0
9999	1	4	259	8	19	9343	9343	3	3	100	52	143	1	11	1	39	23	108	12	19
9999	1	4	260	8	21	8094	7248	2	1	100	6	62	0	1	0	5	59	1	2	0
9999	1	4	261	8	23	3594	0	1	0	0	0	0	0	0	0	0	0	0	0	0
9999	1	4	262	8	25	5507	5507	1	1	100	5	58	1	1	0	3	31	20	7	0
9999	1	4	263	8	27	4478	4478	1	1	100	7	99	0	1	0	6	22	70	7	5
9999	1	4	264	8	29	29788	26223	5	3	100	27	497	0	19	1	7	105	348	44	4
9999	1	4	265	8	31	699259	699259	5	2	100	4613	25312	56	586	1162	2809	4688	15818	4806	96
9999	1	4	266	8	33	1960	1960	1	1	100	5	17	0	0	1	4	7	8	2	0
9999	1	4	267	8	35	329049	329818	4	6	100	464	4424	2	177	21	264	634	3509	280	43
9999	1	4	268	8	37	54847	53888	6	6	100	67	820	0	29	1	37	89	686	45	5
9999	1	4	269	8	39	25065	23654	4	3	60.7783	3	12	0	1	0	2	2	8	2	0
9999	1	4	270	8	41	684099	683441	10	9	100	2827	19866	31	569	487	1740	3206	14216	2444	150
9999	1	4	271	8	43	46638	46638	3	3	64.857	74	772	0	11	8	55	137	559	76	5
9999	1	4	272	8	45	58475	58475	7	7	100	121	1077	2	32	7	80	127	882	68	11
9999	1	4	273	8	47	5902	5166	4	2	100	12	246	0	7	1	4	14	216	16	1
9999	1	4	274	8	49	14577	13116	4	3	94.2621	8	113	0	1	0	7	7	103	2	0
